City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Conakry,GN,87.87,few clouds,9.538,-13.6773,Riviera Royal Hotel
15,Bossangoa,CF,84.56,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
24,Salta,AR,88.09,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
31,Rikitea,PF,76.19,light rain,-23.1203,-134.9692,People ThankYou
34,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
38,Richards Bay,ZA,76.93,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
43,Poum,NC,80.51,few clouds,-20.2333,164.0167,Gîte kajeon
52,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,The Valley,AI,85.86,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
56,Sao Filipe,CV,75.2,overcast clouds,14.8961,-24.4956,Hotel Xaguate
61,Lazaro Cardenas,MX,82.72,few clouds,17.9583,-102.2,quinta antigua
68,Hithadhoo,MV,82.11,few clouds,-0.6,73.0833,Scoop Guest House
71,Atuona,PF,78.33,few clouds,-9.8,-139.0333,Villa Enata
72,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
73,Dhidhdhoo,MV,82.0,overcast clouds,6.8833,73.1,Dhidhoo beach
74,Lahaina,US,75.81,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
82,Waingapu,ID,79.45,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
84,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
94,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
99,Bandarbeyla,SO,78.71,scattered clouds,9.4942,50.8122,JABIR HOTEL
100,Kismayo,SO,81.19,overcast clouds,-0.3582,42.5454,Agan-Hotel
