City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,-11.76,100,56,1.72,broken clouds
1,Havelock,US,34.8791,-76.9013,57.06,41,1,5.01,clear sky
2,Ushuaia,AR,-54.8,-68.3,56.86,47,20,10.36,few clouds
3,Lavrentiya,RU,65.5833,-171.0,-12.69,88,7,8.63,clear sky
4,Bengkulu,ID,-3.8004,102.2655,75.6,87,100,7.43,overcast clouds
5,Barrow,US,71.2906,-156.7887,-16.58,69,1,8.05,haze
6,Nyrob,RU,60.733,56.7202,33.51,97,100,14.2,snow
7,Mahebourg,MU,-20.4081,57.7,77.29,73,20,2.3,few clouds
8,Nacozari,MX,25.3366,-108.2574,77.11,42,98,4.76,overcast clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,92,7.0,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,66.9,73,74,9.73,broken clouds
11,Punta Arenas,CL,-53.15,-70.9167,64.51,34,0,19.57,clear sky
12,Lompoc,US,34.6391,-120.4579,72.19,29,0,2.35,clear sky
13,Conakry,GN,9.538,-13.6773,87.87,70,20,9.22,few clouds
14,New Norfolk,AU,-42.7826,147.0587,58.5,89,11,3.42,few clouds
15,Bossangoa,CF,6.4926,17.4552,84.56,33,72,3.29,broken clouds
16,Dikson,RU,73.5069,80.5464,-15.2,100,99,6.82,overcast clouds
17,Jishou,CN,28.3167,109.7167,47.25,68,1,2.1,clear sky
18,Lyaskelya,RU,61.7667,31.0167,20.5,94,100,8.81,light snow
19,Graaff-Reinet,ZA,-32.2522,24.5308,68.92,59,13,20.47,few clouds
20,Cherskiy,RU,68.75,161.3,-13.95,98,100,5.77,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,1.42,74,26,4.88,scattered clouds
22,Clyde River,CA,70.4692,-68.5914,0.52,95,100,3.69,overcast clouds
23,Inuvik,CA,68.3499,-133.7218,-24.74,68,20,2.3,few clouds
24,Salta,AR,-24.7859,-65.4117,88.09,32,40,7.0,scattered clouds
25,Iqaluit,CA,63.7506,-68.5145,8.33,78,75,4.0,broken clouds
26,Muros,ES,42.7762,-9.0603,56.98,85,66,3.51,broken clouds
27,Port-Cartier,CA,50.0334,-66.8654,27.75,55,100,15.17,overcast clouds
28,Klaksvik,FO,62.2266,-6.589,34.72,69,100,13.49,overcast clouds
29,Lebu,CL,-37.6167,-73.65,61.45,69,4,12.71,clear sky
30,Tuatapere,NZ,-46.1333,167.6833,48.81,92,98,3.6,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,76.19,77,5,23.51,light rain
32,Calca,PE,-13.3333,-71.95,67.35,70,100,6.35,overcast clouds
33,Mar Del Plata,AR,-38.0023,-57.5575,64.42,80,0,13.0,clear sky
34,San Cristobal,VE,7.7669,-72.225,78.98,42,99,7.2,overcast clouds
35,Tasiilaq,GL,65.6145,-37.6368,8.6,69,11,4.79,few clouds
36,Ponta Do Sol,PT,32.6667,-17.1,67.71,73,64,4.41,broken clouds
37,Guerrero Negro,MX,27.9769,-114.0611,68.59,64,0,7.02,clear sky
38,Richards Bay,ZA,-28.783,32.0377,76.93,78,38,4.83,light rain
39,Gelendzhik,RU,44.5731,38.0747,53.96,91,99,29.3,overcast clouds
40,Kodiak,US,57.79,-152.4072,31.51,69,90,5.75,overcast clouds
41,Bluff,NZ,-46.6,168.3333,48.79,82,100,14.52,overcast clouds
42,Yerbogachen,RU,61.2767,108.0108,5.74,97,100,2.28,overcast clouds
43,Poum,NC,-20.2333,164.0167,80.51,80,11,13.98,few clouds
44,Port Elizabeth,ZA,-33.918,25.5701,65.1,77,0,10.36,clear sky
45,Sorland,NO,67.667,12.6934,30.06,82,98,33.02,snow
46,Mataura,NZ,-46.1927,168.8643,48.47,86,100,3.98,overcast clouds
47,Zavodoukovsk,RU,56.5042,66.5515,23.23,79,84,13.24,broken clouds
48,Lata,PT,40.1629,-8.3327,54.81,62,23,1.68,few clouds
49,Ribeira Grande,PT,38.5167,-28.7,64.8,63,75,10.36,broken clouds
50,Saskylakh,RU,71.9167,114.0833,-33.79,100,71,6.08,broken clouds
51,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,20,9.22,few clouds
52,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,46,8.93,scattered clouds
53,The Valley,AI,18.217,-63.0578,85.86,65,75,12.66,broken clouds
54,Bredasdorp,ZA,-34.5322,20.0403,66.27,66,98,10.54,overcast clouds
55,Provost,CA,52.3501,-110.2683,38.62,87,92,4.85,overcast clouds
56,Sao Filipe,CV,14.8961,-24.4956,75.2,67,100,13.96,overcast clouds
57,Albany,US,42.6001,-73.9662,35.74,73,97,3.49,overcast clouds
58,Laguna,US,38.421,-121.4238,68.09,87,1,0.0,clear sky
59,Saldanha,ZA,-33.0117,17.9442,64.38,72,78,12.06,broken clouds
60,Yellowknife,CA,62.456,-114.3525,-12.1,91,90,6.35,overcast clouds
61,Lazaro Cardenas,MX,17.9583,-102.2,82.72,67,12,2.13,few clouds
62,Bethel,US,41.3712,-73.414,41.05,68,90,1.01,overcast clouds
63,Busselton,AU,-33.65,115.3333,49.08,82,0,7.09,clear sky
64,Constitucion,CL,-35.3333,-72.4167,63.34,64,30,6.96,scattered clouds
65,Luoyang,CN,34.6836,112.4536,37.76,30,63,3.69,broken clouds
66,Mikhaylovka,RU,50.06,43.2379,35.71,74,73,5.26,broken clouds
67,Hasaki,JP,35.7333,140.8333,63.0,72,100,34.72,light rain
68,Hithadhoo,MV,-0.6,73.0833,82.11,75,13,7.63,few clouds
69,Severo-Kurilsk,RU,50.6789,156.125,29.62,64,93,9.4,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,21.61,96,99,3.69,overcast clouds
71,Atuona,PF,-9.8,-139.0333,78.33,75,12,22.88,few clouds
72,Vaini,TO,-21.2,-175.2,75.36,88,40,4.61,scattered clouds
73,Dhidhdhoo,MV,6.8833,73.1,82.0,77,93,8.7,overcast clouds
74,Lahaina,US,20.8783,-156.6825,75.81,88,12,9.01,light rain
75,Bela,IN,25.9333,81.9833,64.98,36,100,3.47,overcast clouds
76,Malaya Vishera,RU,58.8454,32.2222,27.48,96,100,11.27,light snow
77,Katsuura,JP,35.1333,140.3,67.19,79,100,33.26,moderate rain
78,Tres Arroyos,AR,-38.3739,-60.2798,73.83,25,1,12.57,clear sky
79,Baykit,RU,61.67,96.37,16.43,96,100,5.39,light snow
80,Nalut,LY,30.3333,10.85,56.71,39,83,5.91,broken clouds
81,Hobart,AU,-42.8794,147.3294,58.86,95,26,11.5,scattered clouds
82,Waingapu,ID,-9.6567,120.2641,79.45,81,92,2.06,overcast clouds
83,Najran,SA,17.4924,44.1277,66.85,30,0,5.32,clear sky
84,Avarua,CK,-21.2078,-159.775,77.05,73,90,9.22,light rain
85,Yulara,AU,-25.2406,130.9889,71.44,30,0,4.61,clear sky
86,Sisimiut,GL,66.9395,-53.6735,32.05,97,100,14.14,light snow
87,Loreto,MX,22.2667,-101.9667,66.04,45,44,3.67,scattered clouds
88,Brainerd,US,46.358,-94.2008,37.24,60,1,9.22,clear sky
89,Batagay,RU,67.6333,134.6333,-24.34,99,100,1.81,overcast clouds
90,Mareeba,AU,-17.0,145.4333,74.44,96,51,1.79,broken clouds
91,Avera,US,33.194,-82.5271,60.85,26,0,8.61,clear sky
92,Osakarovka,KZ,50.565,72.5692,5.41,93,22,5.64,few clouds
93,Vostok,RU,46.4856,135.8833,16.61,97,100,5.7,snow
94,Pitimbu,BR,-7.4706,-34.8086,88.39,65,80,11.16,broken clouds
95,Hilo,US,19.7297,-155.09,72.1,83,40,6.91,moderate rain
96,Alice Springs,AU,-23.7,133.8833,63.95,59,0,4.61,clear sky
97,Saint George,US,37.1041,-113.5841,60.35,49,1,0.0,clear sky
98,Namibe,AO,-15.1961,12.1522,72.03,72,4,9.44,clear sky
99,Bandarbeyla,SO,9.4942,50.8122,78.71,73,50,20.42,scattered clouds
100,Kismayo,SO,-0.3582,42.5454,81.19,77,99,10.09,overcast clouds
101,Port Alfred,ZA,-33.5906,26.891,66.61,77,13,10.0,few clouds
102,Codrington,AU,-38.2667,141.9667,64.18,43,49,8.32,scattered clouds
103,Haines Junction,CA,60.7522,-137.5108,-11.25,84,100,1.14,overcast clouds
104,Andenes,NO,69.3143,16.1194,24.78,63,40,11.5,scattered clouds
105,Rayong,TH,12.8333,101.4333,75.88,75,100,10.49,overcast clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,83.52,53,75,6.91,broken clouds
107,Genhe,CN,50.7833,121.5167,-6.61,100,36,1.32,scattered clouds
108,Calvia,ES,39.5657,2.5062,55.96,67,74,6.64,broken clouds
109,Victoria,HK,22.2855,114.1577,64.38,46,24,1.99,few clouds
110,Chokurdakh,RU,70.6333,147.9167,-13.76,98,100,5.86,overcast clouds
111,Flinders,AU,-34.5833,150.8552,69.19,92,100,1.01,overcast clouds
112,Misratah,LY,32.3754,15.0925,61.93,53,59,14.12,broken clouds
113,Bitung,ID,1.4451,125.1824,76.05,85,100,6.4,overcast clouds
114,Formosa Do Rio Preto,BR,-11.0483,-45.1931,86.13,58,74,3.65,broken clouds
115,Puyo,EC,-1.4667,-77.9833,74.44,88,90,2.3,light rain
116,Ola,RU,59.5833,151.2833,-12.32,91,37,8.39,scattered clouds
117,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,21.85,scattered clouds
118,Bay Roberts,CA,47.5999,-53.2648,59.05,92,100,11.99,light rain
119,Port Hedland,AU,-20.3167,118.5667,80.65,89,3,12.66,clear sky
120,Chuy,UY,-33.6971,-53.4616,71.69,68,95,16.75,overcast clouds
