City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2021-11-29 02:59:07,-24.8667,113.6333,84.27,58,0,20.71
1,Hithadhoo,MV,2021-11-29 02:59:08,-0.6,73.0833,81.79,75,39,17.78
2,Albany,US,2021-11-29 02:58:19,42.6001,-73.9662,27.21,96,92,1.59
3,Pangai,TO,2021-11-29 02:59:08,-19.8,-174.35,82.51,54,20,18.41
4,Kapaa,US,2021-11-29 02:59:09,22.0752,-159.319,80.58,72,84,16.08
5,Alta Floresta,BR,2021-11-29 02:59:09,-9.8756,-56.0861,72.21,94,90,2.04
6,San Cristobal,VE,2021-11-29 02:59:10,7.7669,-72.225,66.22,94,35,1.36
7,San Juan,AR,2021-11-29 02:56:38,-31.5375,-68.5364,71.6,23,0,6.26
8,Cidreira,BR,2021-11-29 02:59:10,-30.1811,-50.2056,70.65,90,100,12.44
9,Airai,TL,2021-11-29 02:59:10,-8.9266,125.4092,73.87,63,100,0.92
10,Qaanaaq,GL,2021-11-29 02:59:11,77.484,-69.3632,-7.1,65,9,8.25
11,Punta Arenas,CL,2021-11-29 02:59:11,-53.15,-70.9167,42.91,75,75,24.16
12,Barrow,US,2021-11-29 02:59:12,71.2906,-156.7887,-16.58,76,75,10.36
13,Kavieng,PG,2021-11-29 02:59:12,-2.5744,150.7967,83.73,74,98,9.15
14,Namibe,AO,2021-11-29 02:59:12,-15.1961,12.1522,70.38,73,95,4.05
15,Tuktoyaktuk,CA,2021-11-29 02:59:13,69.4541,-133.0374,-11.2,70,90,21.85
16,Busselton,AU,2021-11-29 02:59:13,-33.65,115.3333,72.05,53,92,9.31
17,Avarua,CK,2021-11-29 02:59:14,-21.2078,-159.775,78.85,57,21,9.22
18,Labuhan,ID,2021-11-29 02:59:14,-6.8844,112.2051,76.78,84,100,7.34
19,Bredasdorp,ZA,2021-11-29 02:59:15,-34.5322,20.0403,62.69,79,99,4.05
20,Kaseda,JP,2021-11-29 02:58:09,31.4167,130.3167,63.63,58,0,9.66
21,Yellowknife,CA,2021-11-29 02:57:44,62.456,-114.3525,18.12,100,90,9.22
22,Faanui,PF,2021-11-29 02:59:16,-16.4833,-151.75,80.49,74,90,5.21
23,Kruisfontein,ZA,2021-11-29 02:59:16,-34.0033,24.7314,58.21,87,15,6.08
24,Yangjiang,CN,2021-11-29 02:59:17,21.85,111.9667,75.11,45,30,8.23
25,Katangli,RU,2021-11-29 02:59:17,51.7102,143.2326,24.76,93,100,12.21
26,Ushuaia,AR,2021-11-29 02:59:18,-54.8,-68.3,38.86,93,75,16.11
27,Gat,IL,2021-11-29 02:59:18,31.61,34.7642,57.88,32,18,2.98
28,New Norfolk,AU,2021-11-29 02:59:18,-42.7826,147.0587,63.9,44,31,6.85
29,Balkanabat,TM,2021-11-29 02:59:19,39.5108,54.3671,53.17,38,100,1.99
30,Mar Del Plata,AR,2021-11-29 02:55:21,-38.0023,-57.5575,62.62,100,90,11.5
31,Ostrovnoy,RU,2021-11-29 02:59:19,68.0531,39.5131,17.33,78,98,10.2
32,Bluff,NZ,2021-11-29 02:59:20,-46.6,168.3333,58.46,68,78,18.66
33,Saskylakh,RU,2021-11-29 02:59:20,71.9167,114.0833,-20.42,99,97,4.32
34,Kodiak,US,2021-11-29 02:59:21,57.79,-152.4072,14.2,62,87,0.36
35,Thompson,CA,2021-11-29 02:56:21,55.7435,-97.8558,-5.64,77,90,0.0
36,Jiayuguan,CN,2021-11-29 02:59:21,39.8167,98.3,28.35,23,0,0.94
37,Souillac,MU,2021-11-29 02:59:22,-20.5167,57.5167,73.78,83,75,4.61
38,Maragogi,BR,2021-11-29 02:59:22,-9.0122,-35.2225,78.37,86,70,7.83
39,Prachuap Khiri Khan,TH,2021-11-29 02:58:47,12.2167,99.75,75.51,79,98,8.68
40,East London,ZA,2021-11-29 02:59:22,-33.0153,27.9116,65.23,76,2,7.07
41,Rikitea,PF,2021-11-29 02:59:23,-23.1203,-134.9692,76.69,74,0,17.52
42,Bethel,US,2021-11-29 02:55:00,41.3712,-73.414,33.67,95,100,2.62
43,Hun,LY,2021-11-29 02:59:23,29.1268,15.9477,67.08,37,98,10.83
44,Olonets,RU,2021-11-29 02:59:24,60.9847,32.9698,15.58,93,52,7.34
45,Kaitangata,NZ,2021-11-29 03:00:24,-46.2817,169.8464,69.78,37,8,3.8
46,Katsuura,JP,2021-11-29 03:00:25,35.1333,140.3,51.91,47,92,10.2
47,Bandarbeyla,SO,2021-11-29 03:00:25,9.4942,50.8122,76.41,77,21,15.26
48,Barentu,ER,2021-11-29 03:00:26,15.1139,37.5928,69.69,51,4,7.78
49,Atuona,PF,2021-11-29 03:00:26,-9.8,-139.0333,78.49,75,9,16.8
50,Skibbereen,IE,2021-11-29 03:00:26,51.55,-9.2667,44.4,88,100,9.4
51,Laguna,US,2021-11-29 03:00:27,38.421,-121.4238,61.3,87,1,0.0
52,Klaksvik,FO,2021-11-29 03:00:27,62.2266,-6.589,40.12,97,100,16.91
53,Cockburn Town,TC,2021-11-29 03:00:28,21.4612,-71.1419,79.54,74,26,16.58
54,Cabo San Lucas,MX,2021-11-29 02:55:34,22.8909,-109.9124,74.86,73,100,4.81
55,Georgetown,MY,2021-11-29 03:00:28,5.4112,100.3354,82.33,83,20,6.91
56,Hermanus,ZA,2021-11-29 03:00:29,-34.4187,19.2345,61.25,90,100,5.53
57,Hobart,AU,2021-11-29 03:00:29,-42.8794,147.3294,64.26,63,20,17.27
58,Maniitsoq,GL,2021-11-29 03:00:29,65.4167,-52.9,35.26,92,100,24.81
59,Butaritari,KI,2021-11-29 03:00:30,3.0707,172.7902,81.68,78,99,12.24
60,Pueblo Nuevo,MX,2021-11-29 03:00:30,23.3833,-105.3833,51.89,73,86,7.07
61,Qasigiannguit,GL,2021-11-29 03:00:31,68.8193,-51.1922,21.45,95,100,6.69
62,Laje,BR,2021-11-29 03:00:31,-10.1833,-40.9667,67.91,87,76,0.56
63,Mataura,NZ,2021-11-29 03:00:32,-46.1927,168.8643,69.35,33,5,7.76
64,Lata,PT,2021-11-29 03:00:32,40.1629,-8.3327,48.58,94,52,5.68
65,Menongue,AO,2021-11-29 03:00:32,-14.6585,17.691,63.46,96,100,6.2
66,Talnakh,RU,2021-11-29 03:00:33,69.4865,88.3972,-18.53,99,98,5.35
67,Arraial Do Cabo,BR,2021-11-29 03:00:33,-22.9661,-42.0278,72.77,86,1,4.7
68,Sampit,ID,2021-11-29 03:00:34,-2.5333,112.95,83.14,69,100,4.05
